0	4
0	1
0	27
0	23
0	17
0	25
0	28
0	19
0	2
0	18
0	20
0	26
0	29
4	0
4	1
4	2
4	25
4	23
4	27
4	15
4	24
4	17
4	18
4	20
4	26
4	29
1	0
1	23
1	17
1	15
1	25
1	28
1	27
1	22
1	19
1	4
1	16
1	18
1	24
1	29
27	0
27	1
27	4
27	6
27	8
27	9
27	11
27	12
27	13
27	14
27	17
27	19
27	20
27	21
27	22
27	23
27	24
27	25
27	28
23	0
23	1
23	4
23	5
23	6
23	9
23	11
23	14
23	15
23	17
23	19
23	22
23	27
23	25
23	28
23	24
17	0
17	1
17	3
17	4
17	5
17	6
17	8
17	9
17	10
17	14
17	15
17	16
17	27
17	23
17	28
17	22
17	19
17	25
17	29
25	0
25	1
25	2
25	4
25	5
25	6
25	7
25	9
25	10
25	11
25	14
25	15
25	17
25	23
25	27
25	29
28	0
28	1
28	3
28	5
28	6
28	10
28	13
28	14
28	15
28	16
28	17
28	19
28	21
28	22
28	23
28	24
28	27
19	0
19	1
19	2
19	3
19	5
19	6
19	8
19	10
19	11
19	14
19	16
19	17
19	18
19	28
19	24
19	22
19	23
19	27
2	0
2	4
2	24
2	29
2	19
2	18
2	25
18	0
18	1
18	2
18	4
18	6
18	9
18	10
18	11
18	29
18	19
18	24
20	0
20	3
20	4
20	6
20	7
20	11
20	12
20	13
20	29
20	26
20	27
20	21
26	0
26	3
26	4
26	5
26	6
26	7
26	8
26	10
26	12
26	20
26	29
29	0
29	1
29	2
29	3
29	4
29	5
29	6
29	7
29	8
29	10
29	12
29	17
29	18
29	20
29	25
29	26
15	1
15	3
15	4
15	5
15	6
15	7
15	9
15	10
15	14
15	17
15	25
15	22
15	28
15	23
15	16
15	24
22	1
22	3
22	6
22	10
22	13
22	14
22	15
22	16
22	17
22	19
22	21
22	28
22	23
22	27
22	24
16	1
16	5
16	10
16	14
16	15
16	22
16	28
16	24
16	19
16	17
24	1
24	2
24	3
24	4
24	8
24	10
24	14
24	15
24	16
24	18
24	19
24	22
24	23
24	28
24	27
3	19
3	22
3	24
3	28
3	29
3	17
3	15
3	20
3	21
3	26
21	3
21	6
21	9
21	11
21	12
21	13
21	20
21	28
21	22
21	27
5	25
5	15
5	23
5	17
5	19
5	28
5	29
5	7
5	16
5	26
7	5
7	6
7	29
7	26
7	15
7	25
7	20
6	27
6	17
6	15
6	23
6	22
6	25
6	28
6	19
6	7
6	8
6	18
6	20
6	21
6	26
6	29
8	6
8	17
8	27
8	29
8	24
8	19
8	26
9	23
9	27
9	17
9	25
9	15
9	18
9	21
10	24
10	15
10	19
10	28
10	14
10	22
10	17
10	25
10	16
10	18
10	26
10	29
14	10
14	11
14	23
14	28
14	17
14	22
14	25
14	15
14	27
14	19
14	16
14	24
11	23
11	14
11	25
11	27
11	19
11	13
11	18
11	20
11	21
13	11
13	12
13	21
13	20
13	28
13	22
13	27
12	20
12	29
12	26
12	27
12	13
12	21
